seed,octaves,frequency,sea_level,erosion_rate,deposition_rate,evaporation,inertia,capacity,droplet_life,erosion_iters,wind_angle,wind_strength,height_retention,elevation_variance,max_ridge_height,river_density,slope_variance,land_fraction
668,4,4.60,0.35,0.329,0.679,0.0076,0.268,2.8,47,10000,82.9,1.08,0.9546,0.1611,0.3838,0.0030,0.0206,0.2004
209,4,4.46,0.26,0.365,0.703,0.0154,0.046,4.7,38,100000,254.7,1.37,0.5532,0.1057,0.2297,0.0129,0.0127,0.1185
7325,6,3.09,0.27,0.285,0.247,0.0217,0.180,2.8,65,50000,0.9,1.23,0.8248,0.1420,0.4474,0.0200,0.0156,0.2532
4865,6,3.30,0.28,0.123,0.545,0.0128,0.139,7.0,26,100000,306.8,1.47,0.4429,0.0959,0.2241,0.0000,0.0154,0.0582
4415,5,1.62,0.36,0.295,0.147,0.0382,0.072,1.7,42,200000,122.4,0.52,0.5211,0.1172,0.1133,0.0000,0.0156,0.0242
198,7,4.42,0.43,0.156,0.617,0.0294,0.164,3.6,57,10000,234.9,0.89,0.9691,0.1662,0.3894,0.0000,0.0328,0.0880
723,5,2.50,0.46,0.239,0.481,0.0250,0.035,6.4,16,10000,163.9,1.57,0.9184,0.1629,0.2628,0.0000,0.0350,0.0623
9353,6,2.58,0.32,0.127,0.178,0.0112,0.172,5.3,42,200000,230.0,0.63,0.2388,0.0596,0.0090,0.0000,0.0096,0.0001
1140,7,2.21,0.22,0.350,0.364,0.0121,0.232,8.0,56,200000,333.3,0.82,0.1216,0.0322,-0.0182,0.0000,0.0041,0.0000
7958,5,4.50,0.28,0.350,0.293,0.0031,0.117,6.6,25,50000,60.5,1.97,0.5407,0.1101,0.2521,0.0100,0.0171,0.1100
5411,4,3.95,0.34,0.354,0.528,0.0328,0.276,4.0,58,10000,321.8,1.55,0.9625,0.1621,0.4427,0.0027,0.0223,0.2263
777,5,3.19,0.48,0.373,0.342,0.0081,0.167,3.2,69,100000,257.1,1.05,0.5933,0.1100,-0.0041,0.0000,0.0083,0.0000
3637,4,3.53,0.29,0.320,0.106,0.0044,0.183,6.9,32,200000,8.4,1.31,0.0503,0.0195,-0.1211,0.0000,0.0042,0.0000
3139,5,1.84,0.31,0.309,0.699,0.0229,0.247,2.4,54,10000,317.2,1.79,0.9701,0.1746,0.4050,0.0103,0.0189,0.3024
8229,7,5.12,0.27,0.075,0.729,0.0047,0.109,2.7,64,200000,91.3,0.68,0.5101,0.1138,0.3532,0.0016,0.0282,0.1126
8850,6,4.20,0.27,0.076,0.380,0.0171,0.053,1.2,64,10000,130.5,1.92,0.9869,0.1789,0.5912,0.0004,0.0485,0.3107
8588,7,5.10,0.25,0.177,0.538,0.0189,0.194,2.3,33,10000,212.2,1.42,0.9709,0.1675,0.5584,0.0019,0.0364,0.3835
1253,5,3.50,0.22,0.273,0.682,0.0109,0.309,7.8,75,50000,0.5,1.93,0.6479,0.1149,0.3174,0.0216,0.0079,0.2093
4807,5,2.00,0.44,0.030,0.481,0.0120,0.034,1.3,32,50000,138.6,0.62,0.9536,0.1793,0.3960,0.0017,0.0313,0.1071
6277,6,2.97,0.41,0.146,0.160,0.0262,0.030,2.9,77,10000,224.5,1.95,0.9720,0.1750,0.4765,0.0000,0.0382,0.1183
5308,6,2.46,0.47,0.364,0.728,0.0094,0.349,2.0,79,10000,143.9,1.09,0.9654,0.1622,0.2861,0.0000,0.0182,0.0509
458,5,1.66,0.23,0.078,0.181,0.0403,0.119,2.4,52,100000,175.3,0.91,0.7740,0.1609,0.5631,0.0271,0.0269,0.2902
9152,5,3.07,0.26,0.212,0.452,0.0340,0.342,1.1,52,50000,298.2,0.73,0.8889,0.1623,0.4905,0.0121,0.0211,0.3174
4875,7,3.00,0.34,0.283,0.777,0.0132,0.049,1.3,34,200000,5.7,0.78,0.5625,0.1264,0.2316,0.0000,0.0203,0.0562
5082,7,4.65,0.30,0.061,0.628,0.0257,0.114,7.9,72,50000,207.4,1.91,0.7764,0.1393,0.3991,0.0168,0.0294,0.1816
8974,6,2.61,0.21,0.315,0.248,0.0384,0.283,5.4,22,200000,337.1,1.58,0.2468,0.0644,0.1164,0.0000,0.0067,0.0343
5198,7,3.41,0.46,0.023,0.364,0.0017,0.262,8.0,69,50000,58.4,1.53,0.7608,0.1475,0.2700,0.0000,0.0290,0.0259
746,6,1.87,0.35,0.406,0.660,0.0227,0.080,1.5,62,100000,300.4,0.51,0.7530,0.1542,0.3268,0.0074,0.0154,0.1315
8041,5,1.52,0.46,0.359,0.696,0.0252,0.092,2.6,57,200000,295.0,0.66,0.4551,0.0999,-0.0403,0.0000,0.0087,0.0000
